fips,state,county,candidate,won,total_votes_left,total_votes_right,percentage,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,positive_mask_wearing
10001,Delaware,Kent County,Joe Biden,1,44552,87025,0.5119448434357943,0.026000000000000002,0.006,0.106,0.051,0.8109999999999999,0.862
10003,Delaware,New Castle County,Joe Biden,1,195034,287633,0.6780654514607156,0.027000000000000003,0.013000000000000001,0.040999999999999995,0.133,0.7859999999999999,0.9189999999999999
10005,Delaware,Sussex County,Joe Biden,0,56682,129352,0.43819964128888617,0.005,0.001,0.035,0.10300000000000001,0.856,0.959
11001,District of Columbia,District of Columbia,Joe Biden,1,39041,41681,0.9366617883448094,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.907
11001,District of Columbia,District of Columbia,Joe Biden,1,39041,41681,0.9366617883448094,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.907
11001,District of Columbia,District of Columbia,Joe Biden,1,39041,41681,0.9366617883448094,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.907
11001,District of Columbia,District of Columbia,Joe Biden,1,39041,41681,0.9366617883448094,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.907
12001,Florida,Alachua County,Joe Biden,1,89704,142604,0.629042663599899,0.001,0.024,0.053,0.17,0.7509999999999999,0.9209999999999999
12003,Florida,Baker County,Joe Biden,0,2037,14059,0.14488939469379045,0.087,0.076,0.18,0.215,0.442,0.657
12005,Florida,Bay County,Joe Biden,0,25614,93024,0.2753482972136223,0.065,0.109,0.076,0.20199999999999999,0.5479999999999999,0.7499999999999999
12007,Florida,Bradford County,Joe Biden,0,3160,13632,0.2318075117370892,0.106,0.168,0.172,0.17300000000000001,0.381,0.554
12009,Florida,Brevard County,Joe Biden,0,148549,360764,0.4117622600924704,0.068,0.073,0.096,0.157,0.607,0.764
12011,Florida,Broward County,Joe Biden,1,618752,957672,0.646100126139221,0.026000000000000002,0.023,0.043,0.11699999999999999,0.7909999999999999,0.9079999999999999
12013,Florida,Calhoun County,Joe Biden,0,1209,6526,0.1852589641434263,0.034,0.055,0.138,0.267,0.507,0.774
12015,Florida,Charlotte County,Joe Biden,0,42273,116340,0.36335740072202166,0.051,0.049,0.10099999999999999,0.158,0.64,0.798
12017,Florida,Citrus County,Joe Biden,0,27092,93208,0.29066174577289505,0.09,0.036000000000000004,0.087,0.17800000000000002,0.609,0.787
12019,Florida,Clay County,Joe Biden,0,38317,124405,0.3080020899481532,0.055,0.067,0.15,0.209,0.52,0.729
12021,Florida,Collier County,Joe Biden,0,77621,207818,0.37350470122895996,0.04,0.023,0.067,0.212,0.6579999999999999,0.8699999999999999
12023,Florida,Columbia County,Joe Biden,0,8914,33042,0.2697778584831427,0.047,0.026000000000000002,0.28800000000000003,0.254,0.385,0.639
12027,Florida,DeSoto County,Joe Biden,0,4259,12659,0.33644047713089503,0.023,0.064,0.055999999999999994,0.142,0.715,0.857
12029,Florida,Dixie County,Joe Biden,0,1365,8167,0.16713603526386678,0.071,0.095,0.11900000000000001,0.318,0.397,0.7150000000000001
12031,Florida,Duval County,Joe Biden,1,252556,492820,0.5124710847774036,0.049,0.042,0.086,0.19399999999999998,0.629,0.823
12033,Florida,Escambia County,Joe Biden,0,70929,170372,0.4163184091282605,0.019,0.052000000000000005,0.095,0.31,0.524,0.8340000000000001
12035,Florida,Flagler County,Joe Biden,0,28161,71716,0.3926738803056501,0.079,0.05,0.113,0.157,0.602,0.759
12037,Florida,Franklin County,Joe Biden,0,2120,6849,0.3095342385749745,0.022000000000000002,0.10099999999999999,0.237,0.228,0.41200000000000003,0.64
12039,Florida,Gadsden County,Joe Biden,1,16153,23762,0.6797828465617373,0.06,0.033,0.10400000000000001,0.22699999999999998,0.575,0.8019999999999999
12041,Florida,Gilchrist County,Joe Biden,0,1700,9685,0.17552916881775943,0.016,0.151,0.069,0.324,0.44,0.764
12043,Florida,Glades County,Joe Biden,0,1385,5193,0.2667051800500674,0.047,0.08199999999999999,0.098,0.096,0.677,0.773
12045,Florida,Gulf County,Joe Biden,0,1985,8163,0.24317040303809873,0.046,0.125,0.12,0.249,0.46,0.7090000000000001
