state,total_votes
Delaware,504010
District of Columbia,344356
Florida,11067456
Georgia,4997724
Hawaii,574469
Idaho,868105
Illinois,6038472
Indiana,3033198
Iowa,1690919
Kansas,1375304
Kentucky,2136768
Louisiana,2148062
Maine,820505
Maryland,3019064
Massachusetts,3631402
Michigan,5539302
Minnesota,3277171
Mississippi,1315240
Missouri,3029586
Montana,605750
Nebraska,952271
Nevada,1405376
New Hampshire,804430
New Jersey,4564028
New Mexico,923965
New York,8616205
North Carolina,5524801
North Dakota,361819
Ohio,5922202
Oklahoma,1560699
Oregon,2371459
Pennsylvania,6926366
Rhode Island,517757
South Carolina,2513329
South Dakota,422609
Tennessee,3053851
Texas,11317911
Utah,1488289
Vermont,367428
Virginia,4460524
Washington,4060545
West Virginia,794652
Wisconsin,3298041
Wyoming,276765
Alabama,2323304
Alaska,359530
Arkansas,1219069
California,17495906
Colorado,3256953
Connecticut,1824324
United States,158388597
Arizona,3387326
