state,total_votes
Delaware,490935
Georgia,4952440
Idaho,858826
Illinois,5968618
Iowa,1670617
Kansas,1367755
Kentucky,2134667
Louisiana,2071543
Maine,819183
Massachusetts,3463451
Michigan,5479708
Minnesota,3211995
Mississippi,1309889
Montana,605637
Nebraska,903863
New Hampshire,795603
New Jersey,4443213
New Mexico,917237
North Carolina,5474951
Oklahoma,1556361
Oregon,2320113
Rhode Island,493429
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11148837
Virginia,4400699
West Virginia,778918
Wyoming,270866
Alabama,2303212
Alaska,353698
Arizona,3355317
Arkansas,1193261
Colorado,3235754
Georgia,4914395
