state,county,current_votes,total_votes,percent
Delaware,Kent County,87025,87025,100
Delaware,New Castle County,287633,287633,100
Delaware,Sussex County,129352,129352,100
District of Columbia,District of Columbia,41681,41681,100
District of Columbia,Ward 2,32881,32881,100
District of Columbia,Ward 3,44231,44231,100
District of Columbia,Ward 4,45296,45296,100
District of Columbia,Ward 5,46107,46107,100
District of Columbia,Ward 6,62918,62918,100
District of Columbia,Ward 7,38384,38384,100
District of Columbia,Ward 8,32858,32858,100
Florida,Alachua County,142604,142604,100
Florida,Baker County,14059,14059,100
Florida,Bay County,93024,93024,100
Florida,Bradford County,13632,13632,100
Florida,Brevard County,360764,360764,100
Florida,Broward County,957672,957672,100
Florida,Calhoun County,6526,6526,100
Florida,Charlotte County,116340,116340,100
Florida,Citrus County,93208,93208,100
Florida,Clay County,124405,124405,100
Florida,Collier County,207818,207818,100
Florida,Columbia County,33042,33042,100
Florida,DeSoto County,12659,12659,100
Florida,Dixie County,8167,8167,100
Florida,Duval County,492820,492820,100
Florida,Escambia County,170372,170372,100
Florida,Flagler County,71716,71716,100
Florida,Franklin County,6849,6849,100
Florida,Gadsden County,23762,23762,100
Florida,Gilchrist County,9685,9685,100
Florida,Glades County,5193,5193,100
Florida,Gulf County,8163,8163,100
Florida,Hamilton County,5830,5830,100
Florida,Hardee County,8485,8485,100
Florida,Hendry County,12940,12940,100
Florida,Hernando County,108922,108922,100
Florida,Highlands County,52170,52170,100
Florida,Hillsborough County,712063,712063,100
Florida,Holmes County,9068,9068,100
Florida,Indian River County,97484,97484,100
Florida,Jackson County,22419,22419,100
Florida,Jefferson County,8451,8451,100
Florida,Lafayette County,3658,3658,100
Florida,Lake County,211314,211314,100
Florida,Lee County,393899,393899,100
Florida,Leon County,162929,162929,100
Florida,Levy County,23145,23145,100
Florida,Liberty County,3561,3561,100
Florida,Madison County,9380,9380,100
Florida,Manatee County,216958,216958,100
Florida,Marion County,204376,204376,100
Florida,Martin County,98726,98726,100
Florida,Miami-Dade County,1156816,1156816,100
