fips,state,county,candidate,won,total_votes_left,total_votes_right,percentage,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,positive_mask_wearing
10001,Delaware,Kent County,Donald Trump,False,41009,87025,0.47123240448147086,0.026000000000000002,0.006,0.106,0.051,0.8109999999999999,0.862
10003,Delaware,New Castle County,Donald Trump,False,88364,287633,0.3072109250329413,0.027000000000000003,0.013000000000000001,0.040999999999999995,0.133,0.7859999999999999,0.9189999999999999
10005,Delaware,Sussex County,Donald Trump,True,71230,129352,0.5506679448327045,0.005,0.001,0.035,0.10300000000000001,0.856,0.959
11001,District of Columbia,District of Columbia,Donald Trump,False,1725,41681,0.04138576329742569,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.907
11001,District of Columbia,District of Columbia,Donald Trump,False,1725,41681,0.04138576329742569,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.907
11001,District of Columbia,District of Columbia,Donald Trump,False,1725,41681,0.04138576329742569,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.907
11001,District of Columbia,District of Columbia,Donald Trump,False,1725,41681,0.04138576329742569,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743,0.907
12001,Florida,Alachua County,Donald Trump,False,50972,142604,0.35743737903565115,0.001,0.024,0.053,0.17,0.7509999999999999,0.9209999999999999
12003,Florida,Baker County,Donald Trump,True,11911,14059,0.8472153069208336,0.087,0.076,0.18,0.215,0.442,0.657
12005,Florida,Bay County,Donald Trump,True,66097,93024,0.7105370657034744,0.065,0.109,0.076,0.20199999999999999,0.5479999999999999,0.7499999999999999
12007,Florida,Bradford County,Donald Trump,True,10334,13632,0.7580692488262911,0.106,0.168,0.172,0.17300000000000001,0.381,0.554
12009,Florida,Brevard County,Donald Trump,True,207883,360764,0.5762298899003226,0.068,0.073,0.096,0.157,0.607,0.764
12011,Florida,Broward County,Donald Trump,False,333409,957672,0.3481452940046279,0.026000000000000002,0.023,0.043,0.11699999999999999,0.7909999999999999,0.9079999999999999
12013,Florida,Calhoun County,Donald Trump,True,5274,6526,0.8081520073551947,0.034,0.055,0.138,0.267,0.507,0.774
12015,Florida,Charlotte County,Donald Trump,True,73243,116340,0.629559910606842,0.051,0.049,0.10099999999999999,0.158,0.64,0.798
12017,Florida,Citrus County,Donald Trump,True,65352,93208,0.7011415329156295,0.09,0.036000000000000004,0.087,0.17800000000000002,0.609,0.787
